2021-10-10 10.55.40;917342794485784576;2017-10-09 10:55:40;KettilsMead;Sweden;2;RT @_Gautt: 7-klöverpartierna fortsätter slösa med TV-tid. Istället för att ta sakpolitiska debatter med SD låter man plakatinvektiven hagl…
2021-10-10 10.53.29;917342246567063552;2017-10-09 10:53:29;BorenNon;EU-ZON 13.;2;RT @_Gautt: 7-klöverpartierna fortsätter slösa med TV-tid. Istället för att ta sakpolitiska debatter med SD låter man plakatinvektiven hagl…
2021-10-10 11.44.37;917355113882292224;2017-10-09 11:44:37;PiaClerte;Sweden;2;"RT @112_Tull: Mina damer och herrar, inte ett ord om Tullen.#pldebatt https://t.co/IMbYjjrkgX"
2021-10-09 20.32.56;917125682458750976;2017-10-08 20:32:56;Kingfis00529659;Age quod agis Sweden;2;"RT @112_Tull: Mina damer och herrar, inte ett ord om Tullen.#pldebatt https://t.co/IMbYjjrkgX"
2021-10-09 20.12.43;917120593966845955;2017-10-08 20:12:43;IngLindberg;Göteborg, Sverige;1;RT @66jolden: ... otroligt att vänstern tror de är Robin Hood. Vänstern är ju precis som prins John som tog pengar från folket till staten.…
2021-10-09 19.08.03;917104318532214786;2017-10-08 19:08:03;SemiPerfekt;Stora Höga & Göteborg;2;RT @800grader: Drick varje gång Lööf hyllar en miljöpolitisk idé, utan att nämna att det är tack vare MP #pldebatt
2021-10-09 19.43.20;917113199203373057;2017-10-08 19:43:20;MaddeLindstrand;Göteborg, Sverige;3;"RT @800grader: Så bra av Fridolin att nämna vikten av vuxenutbildning för jobbskapande#pldebatt"
2021-10-09 18.25.20;917093568040329216;2017-10-08 18:25:20;MatsPertoft;Stockholm;3;"RT @800grader: Så bra av Fridolin att nämna vikten av vuxenutbildning för jobbskapande#pldebatt"
2021-10-09 18.20.31;917092359174750208;2017-10-08 18:20:31;robin_holmberg;Stockholm;3;"RT @800grader: Så bra av Fridolin att nämna vikten av vuxenutbildning för jobbskapande#pldebatt"
2021-10-10 10.40.59;917339100297998336;2017-10-09 10:40:59;HallanderEva;;21;RT @a_gustavsson: Kan vara värt att läsa denna för att värdera Jimmie Åkesson när han ryar om nazism. https://t.co/ELLO2uqn1B #pldebatt #Da…
